                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2499,                  1.698,                 1.4666,                0.47836,                0.49868,                0.44592,                0.19399,                 2.0003,                 2.4024,                 2.0302,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.2761,                 1.5855,                 1.4903,                0.49633,                0.47032,                0.43632,                0.16933,                 2.1153,                 2.5295,                 2.2504,             0.00047056,             0.00047056,             0.00047056
                      3,                 1.2708,                  1.565,                 1.4834,                0.58607,                0.48362,                0.49986,                0.23311,                 1.9266,                 1.9922,                 2.0893,             0.00069915,             0.00069915,             0.00069915
                      4,                  1.232,                 1.4953,                 1.4564,                0.72322,                0.48322,                0.55499,                0.24341,                 1.9313,                 1.7386,                 2.0577,             0.00069279,             0.00069279,             0.00069279
                      1,                 1.2499,                  1.698,                 1.4666,                0.47836,                0.49868,                0.44592,                0.19399,                 2.0003,                 2.4024,                 2.0302,             0.00023727,             0.00023727,             0.00023727
                      2,                  1.275,                 1.5898,                 1.4877,                 0.5936,                0.43857,                0.45118,                0.19097,                 2.0816,                 2.3298,                 2.1864,             0.00047056,             0.00047056,             0.00047056
                      3,                 1.2613,                 1.5573,                 1.4774,                0.64291,                  0.511,                0.51361,                0.23614,                 1.9467,                 2.0935,                 2.0874,             0.00069915,             0.00069915,             0.00069915
                      4,                 1.2294,                 1.4763,                 1.4574,                0.65742,                 0.5338,                0.56638,                0.25214,                 1.9619,                 1.8571,                 2.0607,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1846,                 1.3798,                 1.4149,                0.73676,                0.50974,                0.57444,                0.25719,                 1.9444,                 1.6248,                  2.081,             0.00069279,             0.00069279,             0.00069279
                      6,                  1.155,                 1.3004,                 1.3925,                0.75641,                0.56994,                0.62516,                0.30722,                  1.812,                 1.3971,                  1.934,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1192,                 1.2316,                  1.363,                0.69974,                0.55863,                0.58223,                 0.2609,                 1.9336,                    1.5,                 2.0314,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.0918,                 1.1734,                 1.3454,                0.73401,                0.58902,                0.63507,                0.29917,                 1.8719,                 1.3287,                 1.8986,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0739,                 1.1444,                 1.3389,                0.76995,                0.60795,                0.67638,                0.33312,                 1.8361,                  1.239,                 1.9302,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0525,                  1.089,                  1.318,                0.83147,                0.60192,                0.68291,                0.34286,                 1.7437,                 1.2372,                 1.8685,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0329,                   1.04,                 1.3014,                0.83514,                 0.6359,                0.70467,                0.37632,                 1.6532,                 1.1159,                 1.7841,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0003,                0.99318,                 1.2757,                0.81846,                0.63316,                0.70194,                0.36366,                 1.6322,                 1.1276,                  1.814,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.0029,                0.97018,                 1.2788,                0.76777,                0.62055,                 0.6811,                0.33923,                 1.7598,                 1.1832,                 1.9165,             0.00063625,             0.00063625,             0.00063625
                     14,                0.97343,                0.94297,                 1.2602,                0.82315,                0.66571,                0.72896,                0.37994,                 1.6119,                 1.0544,                 1.7787,             0.00062918,             0.00062918,             0.00062918
                     15,                0.96218,                0.91281,                 1.2504,                0.82804,                0.67328,                 0.7489,                0.42041,                  1.527,                0.93715,                 1.6788,             0.00062211,             0.00062211,             0.00062211
